Log file created: Fri Dec  7 14:03:27 2018
Ticks = 396966      <4325537216> <ALOG> <5> TXT Death COR_BIBCLIENTTERMINATE_IF_NEEDED called successfully.
Ticks = 396966      <4325537216> <ALOG> <5> TXT Death U_Context::UnregisterState(TXT_GlobalState::S_Name) called successfully.
Ticks = 396966      <4325537216> <ALOG> <5> P Death P Death
Ticks = 396966      <4325537216> <ALOG> <5> PF Death PF Death
Ticks = 396966      <4325537216> <ALOG> <5> TDB Death TDB Death
Ticks = 396966      <4325537216> <ALOG> <5> TDB Death TDB StreamBase Death
Ticks = 396966      <4325537216> <ALOG> <5> PLUG Death PLUG Death
Ticks = 396986      <4325537216> <ALOG> <5> MC Death MC Death
Ticks = 396990      <4325537216> <ALOG> <5> VAL Death VAL Death
Ticks = 396991      <4325537216> <ALOG> <5> PREF Death PREF Death
Ticks = 396991      <4325537216> <ALOG> <5> RND Death RND Death
Ticks = 396991      <4325537216> <ALOG> <5> M Death M Death
Ticks = 396991      <4325537216> <ALOG> <5> FILE Death FILE Death
Ticks = 396992      <4325537216> <ALOG> <5> U Death U Death
-------------------------------------------
Log file closed: Fri Dec  7 14:10:03 2018

