Log file created: Sat Mar  9 13:03:34 2019
Ticks = 2997153      <123145425907712> <AME.WatchFolder> <5> /Users/brunobonfim/Documents/Apple/Install Microsoft Office for Mac.pdf is completely copied, size=158271
Ticks = 2997155      <123145425907712> <AME.WatchFolder> <5> CreateBatchItemGr failed, -1610153884
Ticks = 3017153      <123145425907712> <AME.WatchFolder> <5> /Users/brunobonfim/Documents/Apple/Install Microsoft Office for Mac.pdf is completely copied, size=158271
Ticks = 3017154      <123145425907712> <AME.WatchFolder> <5> CreateBatchItemGr failed, -1610153884
Ticks = 3037157      <123145425907712> <AME.WatchFolder> <5> /Users/brunobonfim/Documents/Apple/Install Microsoft Office for Mac.pdf is completely copied, size=158271
Ticks = 3037158      <123145425907712> <AME.WatchFolder> <5> CreateBatchItemGr failed, -1610153884
Ticks = 3057159      <123145425907712> <AME.WatchFolder> <5> /Users/brunobonfim/Documents/Apple/Install Microsoft Office for Mac.pdf is completely copied, size=158271
Ticks = 3057162      <123145425907712> <AME.WatchFolder> <5> CreateBatchItemGr failed, -1610153884
Ticks = 3077162      <123145425907712> <AME.WatchFolder> <5> /Users/brunobonfim/Documents/Apple/Install Microsoft Office for Mac.pdf is completely copied, size=158271
Ticks = 3077164      <123145425907712> <AME.WatchFolder> <5> CreateBatchItemGr failed, -1610153884
Ticks = 3097163      <123145425907712> <AME.WatchFolder> <5> /Users/brunobonfim/Documents/Apple/Install Microsoft Office for Mac.pdf is completely copied, size=158271
Ticks = 3097165      <123145425907712> <AME.WatchFolder> <5> CreateBatchItemGr failed, -1610153884
Ticks = 3117162      <123145425907712> <AME.WatchFolder> <5> /Users/brunobonfim/Documents/Apple/Install Microsoft Office for Mac.pdf is completely copied, size=158271
Ticks = 3117165      <123145425907712> <AME.WatchFolder> <5> CreateBatchItemGr failed, -1610153884
Ticks = 3137163      <123145425907712> <AME.WatchFolder> <5> /Users/brunobonfim/Documents/Apple/Install Microsoft Office for Mac.pdf is completely copied, size=158271
Ticks = 3137165      <123145425907712> <AME.WatchFolder> <5> CreateBatchItemGr failed, -1610153884
Ticks = 3157163      <123145425907712> <AME.WatchFolder> <5> /Users/brunobonfim/Documents/Apple/Install Microsoft Office for Mac.pdf is completely copied, size=158271
Ticks = 3157164      <123145425907712> <AME.WatchFolder> <5> CreateBatchItemGr failed, -1610153884
Ticks = 3177164      <123145425907712> <AME.WatchFolder> <5> /Users/brunobonfim/Documents/Apple/Install Microsoft Office for Mac.pdf is completely copied, size=158271
Ticks = 3177165      <123145425907712> <AME.WatchFolder> <5> CreateBatchItemGr failed, -1610153884
Ticks = 3197165      <123145425907712> <AME.WatchFolder> <5> /Users/brunobonfim/Documents/Apple/Install Microsoft Office for Mac.pdf is completely copied, size=158271
Ticks = 3197169      <123145425907712> <AME.WatchFolder> <5> CreateBatchItemGr failed, -1610153884
Ticks = 3217165      <123145425907712> <AME.WatchFolder> <5> /Users/brunobonfim/Documents/Apple/Install Microsoft Office for Mac.pdf is completely copied, size=158271
Ticks = 3217166      <123145425907712> <AME.WatchFolder> <5> CreateBatchItemGr failed, -1610153884
Ticks = 3237165      <123145425907712> <AME.WatchFolder> <5> /Users/brunobonfim/Documents/Apple/Install Microsoft Office for Mac.pdf is completely copied, size=158271
Ticks = 3237167      <123145425907712> <AME.WatchFolder> <5> CreateBatchItemGr failed, -1610153884
Ticks = 3257165      <123145425907712> <AME.WatchFolder> <5> /Users/brunobonfim/Documents/Apple/Install Microsoft Office for Mac.pdf is completely copied, size=158271
Ticks = 3257166      <123145425907712> <AME.WatchFolder> <5> CreateBatchItemGr failed, -1610153884
Ticks = 3277167      <123145425907712> <AME.WatchFolder> <5> /Users/brunobonfim/Documents/Apple/Install Microsoft Office for Mac.pdf is completely copied, size=158271
Ticks = 3277171      <123145425907712> <AME.WatchFolder> <5> CreateBatchItemGr failed, -1610153884
Ticks = 3297167      <123145425907712> <AME.WatchFolder> <5> /Users/brunobonfim/Documents/Apple/Install Microsoft Office for Mac.pdf is completely copied, size=158271
Ticks = 3297169      <123145425907712> <AME.WatchFolder> <5> CreateBatchItemGr failed, -1610153884
Ticks = 3317167      <123145425907712> <AME.WatchFolder> <5> /Users/brunobonfim/Documents/Apple/Install Microsoft Office for Mac.pdf is completely copied, size=158271
Ticks = 3317168      <123145425907712> <AME.WatchFolder> <5> CreateBatchItemGr failed, -1610153884
Ticks = 3337168      <123145425907712> <AME.WatchFolder> <5> /Users/brunobonfim/Documents/Apple/Install Microsoft Office for Mac.pdf is completely copied, size=158271
Ticks = 3337171      <123145425907712> <AME.WatchFolder> <5> CreateBatchItemGr failed, -1610153884
Ticks = 3357168      <123145425907712> <AME.WatchFolder> <5> /Users/brunobonfim/Documents/Apple/Install Microsoft Office for Mac.pdf is completely copied, size=158271
Ticks = 3357170      <123145425907712> <AME.WatchFolder> <5> CreateBatchItemGr failed, -1610153884
Ticks = 3377173      <123145425907712> <AME.WatchFolder> <5> /Users/brunobonfim/Documents/Apple/Install Microsoft Office for Mac.pdf is completely copied, size=158271
Ticks = 3377178      <123145425907712> <AME.WatchFolder> <5> CreateBatchItemGr failed, -1610153884
Ticks = 3397178      <123145425907712> <AME.WatchFolder> <5> /Users/brunobonfim/Documents/Apple/Install Microsoft Office for Mac.pdf is completely copied, size=158271
Ticks = 3397180      <123145425907712> <AME.WatchFolder> <5> CreateBatchItemGr failed, -1610153884
